PDF File Name,Summary_T5,Summary_Gemini,Summary_Gpt4,Summary_Gpt3,Summary_BART
0,eXtended Merkle Signature Scheme (XMSS) is an outstanding candidate for a quantum-secure DSS . eXtended Merkle Signature Scheme (XMSS,"The paper presents the first hardware accelerator for XMSS, a digital signature scheme resistant to quantum computing attacks. The generic design enables customization for various use cases, with comprehensive exploration of parameters and hash functions for optimal performance and area utilization.","This paper introduces the first comprehensive hardware accelerator for the quantum-secure eXtended Merkle Signature Scheme (XMSS), detailing a configurable design that optimizes performance and area utilization across various use-cases, aligning with NIST and IETF standards.","This paper introduces a configurable hardware accelerator for the quantum-secure Digital Signature Scheme XMSS, addressing the vulnerability of current schemes to quantum computing. The accelerator's design flexibility enables optimization for various applications through parameter and hash function selection, enhancing performance and resource efficiency.","A Configurable Hardware Implementation of XMSSAs a fundamental building block in today's digital world, Digital Signature Schemes (DSS) provide the ability to authenticate messages exchanged"
1,the security of hash functions against a quantum adversary is well understood . hash-based signatures are strong candidates for standard use in a post-quantum world .,"In a post-quantum world, Leighton-Micali Hash-Based Signatures (LMS) are promising due to their efficiency and security. This work formally proves LMS's security against quantum adversaries in the quantum random-oracle model. The proof matches the limitations of Grover's search algorithm, providing a solid theoretical foundation for LMS's use in future secure communication systems.","This work presents a proof of the security of Leighton-Micali Hash-Based Signatures (LMS) in the quantum random-oracle model, demonstrating robustness against quantum adversaries and supporting its potential standardization in a post-quantum world.","Hash-based signatures, like the Leighton-Micali scheme, are promising for post-quantum security due to efficient sizes and operations. This study establishes LMS security against quantum adversaries in the random-oracle model, aligning with Grover's search algorithm bounds and maintaining efficacy in multi-user scenarios.",Leighton-Micali Hash-Based Signatures in the Quantum Random-Oracle ModelDigital signatures constructed solely from hash functions offer competitive signature sizes and fast signing and verifying times. Moreover
2,quantum computing is a major challenge for cryptographic community . a new class of algorithms can be implemented using the Number Theoretic Transform (NTT) a new architecture for,"A new hardware architecture for the Number Theoretic Transform (NTT) is proposed, which is crucial for accelerating Post-Quantum Cryptography (PQC) algorithms. This architecture employs an innovative memory write-back scheme, reducing memory storage and enabling efficient hardware implementation via High-Level Synthesis (HLS). With a latency of approximately (N log₂N + 3N)/4 clock cycles, the design proves efficient for even log₂N values.","This paper introduces an enhanced hardware architecture for the Number Theoretic Transform (NTT), crucial for accelerating Post-Quantum Cryptography algorithms against quantum threats. It features a novel memory write-back scheme, optimizing efficiency and reducing latency in cryptographic implementations.","This paper addresses the urgent need for transitioning to Post-Quantum Cryptography (PQC) due to quantum computing threats. It introduces an optimized hardware architecture for accelerating PQC algorithms using Number Theoretic Transform (NTT) and High-Level Synthesis (HLS), showcasing improved efficiency and reduced memory usage.","A High-Level Synthesis Approach to the Software/Hardware Codesign of NTT-based Post-Quantum Cryptography AlgorithmsDue to an emerging threat of quantum computing,"
3,"please provide the text of the abstract from the research paper . i'll be happy to extract it for you . i'm sorry, but you haven't provided","Sorry, I don't have enough context to generate a summary from the provided information. Please provide the abstract from the research paper, and I'll be happy to help you extract the requested summary from it.","I'm sorry, but you haven't provided the actual text of the paragraphs from the research paper. Please provide the text, and I'll be happy to help summarize it for you.","I'm sorry for the confusion, but since the text of the abstract is not provided, I am unable to craft a summary. If you can provide the abstract text, I would be happy to assist in summarizing it for you.","Round 2 of the NIST PQC “Competition”I'm sorry, but you haven't provided the actual text of the abstract from the research paper. Please provide"
4,eXtended Merkle Signature Scheme (XMSS) is a post-quantum cryptography (PQC) algorithm . it is the first full hardware implementation of all three,"An optimized hardware implementation of the XMSS post-quantum cryptography algorithm has been developed. It features efficient memory utilization, reduced authentication path computation time, and avoidance of vulnerable memory types. The design has been implemented and evaluated on an FPGA, demonstrating significant performance improvements over previous software and hardware implementations.","This paper details a pioneering full hardware implementation of the Extended Merkle Signature Scheme (XMSS), enhancing memory efficiency and computational speed in post-quantum cryptography. It achieves significant performance improvements in key generation, signing, and verification on a 28 nm FPGA platform.","This paper presents a full hardware implementation of the eXtended Merkle Signature Scheme (XMSS), optimizing memory utilization and authentication path computation. It achieves significant speed improvements over existing methods, enhancing computational efficiency for key generation and signature operations while mitigating side-channel vulnerabilities.","An Efficient Full Hardware Implementation of Extended Merkle Signature SchemeThis paper presents a full hardware implementation of the eXtended Merkole Signature Scheme (XMSS), a N"
5,XMSS and XMSSMT are currently undergoing standardisation at IETF . they are also undergoing a validation at microsoft and microsoft .,"Researchers conducted a differential power analysis (DPA) on XMSS, XMSSMT, and SPHINCS, which are post-quantum signature schemes. DPA resistance was reduced to that of the PRNG for XMSS, while at least 32 bits of the SPHINCS secret key were recoverable due to its stateless design. Novel DPA attacks were developed for the PRNG in XMSS and the BLAKE-256-based PRF in SPHINCS-256, with the latter threatening hardware implementations of SPHINCS-256. The findings provide valuable insights for enhancing the security of these signature schemes.","This study conducts the first rigorous side-channel analysis of hash-based signature schemes XMSS, XMSSMT, and SPHINCS, revealing vulnerabilities to differential power analysis attacks, particularly in SPHINCS due to its stateless nature, and offers implementation recommendations.","This study investigates the vulnerability of hash-based signature schemes XMSS and SPHINCS to power analysis attacks. While XMSS shows resistance, SPHINCS is susceptible to key recovery attacks. The findings support ongoing standardization efforts and highlight the importance of secure implementations for post-quantum cryptography.","Differential Power Analysis of XMSS and SPHINCSQuantum computing threatens conventional public-key cryptography. In response, standards bodies such as NIST increasingly focus on post-"
6,a hard crystal - Implementing Dilithium on reconfigurable hardware has been selected as a finalist in the post-quantum cryptography (PQC) standardization process,"A Hard Crystal evaluates the performance and memory requirements of CRYSTALS-Dilithium, a finalist in the NIST PQC standardization process, on low-end FPGA platforms. It presents an optimized NTT core for Dilithium and analyzes the efficiency of lattice-based cryptography in low-cost and high-throughput configurations.","This study introduces the first FPGA implementations of the CRYSTALS-Dilithium digital signature scheme on the Xilinx Artix-7 platform, focusing on optimizing the Number-Theoretic Transform core for efficient hardware performance, crucial for advancing lattice-based cryptography in practical applications.","Dilithium, a lattice-based digital signature scheme, is a finalist in NIST's Post-Quantum Cryptography standardization. This study introduces FPGA implementations for Xilinx Artix-7, optimizing a Number-Theoretic Transform core for efficient hardware utilization, shedding light on lattice-based cryptography's performance in low-cost, high-throughput configurations.",A Hard Crystal - Implementing Dilithium on Reconfigurable HardwareCRYSTALS-Dilithium as a lattice-based digital signature scheme has been selected as a
7,"the cost for signature generation alone is slightly different from signature verification . we introduce a new variant for W OTS, which allows the adjustment of these costs . we decrease the number of","The paper presents a modified Winternitz hash-based digital signature scheme (WOTS) that allows adjusting the costs of signature generation and verification independently. The modification reduces the number of iterations of the function f used in the verification procedure, resulting in faster verification times. Experiments show significant performance improvements in Merkle-based signature schemes like XMSS using this modified WOTS.","The paper introduces a variant of the Winternitz one-time signature scheme (W OTS) that allows adjustable costs between signature generation and verification by modifying the iterations of function f, significantly impacting Merkle-based schemes like X MSS.","A new variant of the Winternitz hash-based digital signature scheme allows for tuning the signature generation and verification costs independently, impacting Merkle-based schemes like XMSS. It reduces the number of iterations of a function f, enhancing efficiency.","Tuning the Winternitz hash-based digital signature schemeAbstract —It is known that, for a given set of parameters, the overall complexity for generating and verifying a signature is constant"
8,a lattice-based cryptography processor with configurable parameters . a single-port RAM-based number theoretic transform memory architecture is proposed .,"Sapphire is a configurable crypto-processor for post-quantum lattice-based protocols, addressing the challenge of implementing these complex algorithms on low-power embedded devices. It combines efficient sampling, a novel memory architecture, and a low-power arithmetic unit to achieve significant performance and energy-efficiency improvements. The processor core is secure against timing and power analysis attacks and supports masking-based countermeasures.","Sapphire, a configurable crypto-processor, addresses the high computational demands of quantum-resistant lattice-based cryptography, enhancing energy efficiency and performance significantly. It integrates a SHA-3-based PRNG, innovative memory architecture, and a low-power arithmetic unit, demonstrating superior capabilities in secure, efficient cryptographic computations on embedded devices.","Sapphire is a configurable lattice cryptography processor designed to address the challenge of implementing quantum-resistant algorithms on low-power devices. It offers significant energy savings, gate area reductions, and improved performance for post-quantum lattice-based protocols, ensuring security against side-channel attacks.","Sapphire: A Configurable Crypto-Processor for Post-Quantum Lattice-based ProtocolsPublic key cryptography protocols, such as RSA and elliptic curve cryptography,"
9,the first hardware implementation that supports both LMS and XMSS . hardware utilization of the agile design increases by 20% in LUTs .,"The agile implementation supports both LMS and XMSS schemes with a simple configuration setting. It utilizes their similarities to enhance hardware utilization by 20% in LUTs and 3% in FFs compared to a standalone XMSS implementation. It allows for flexible configuration with varying hash cores and one-time signature accelerators. Evaluated on the Xilinx Artix-7 FPGA platform, the implementation explores design space tradeoffs and compares favorably to prior work.","This study introduces the first agile hardware implementation supporting both LMS and XMSS stateful hash-based signatures. It efficiently utilizes hardware, configurable for various applications, and is evaluated on the Xilinx Artix-7 FPGA, aligning with NIST recommendations.","This study introduces an agile hardware design supporting LMS and XMSS signatures, offering flexibility in scheme instantiation. Leveraging scheme similarities, the design shows a 20% increase in LUTs and 3% in FFs over standalone XMSS. The approach allows easy configuration for various application scenarios, evaluated on Xilinx Artix-7 FPGA.","Agile Acceleration of Stateful Hash-based Signatures in HardwareIn this work, we present the first agile hardware implementation that supports both LMS and XMSS. Our design"
