PDF File Name,Summary_T5,Summary_Gemini,Summary_Gpt4,Summary_Gpt3,Summary_BART
0,a white-box backdoor attack exploits a vulnerability of convolutional neural networks . facial recognition is a prime target for security breaches .,"This paper introduces a white-box backdoor attack targeting convolutional neural networks (CNNs), specifically facial recognition systems. By subtly perturbing CNN weights, attackers can manipulate facial recognition into falsely accepting specific inputs while maintaining accuracy for legitimate users.  This highlights security vulnerabilities in currently deployed CNNs.
","This research introduces a novel white-box backdoor attack targeting convolutional neural networks (CNNs) used in facial recognition, exploiting their lack of security design and audits. The attack method involves targeted weight perturbations, significantly increasing false acceptance rates without affecting legitimate error rates.","This study introduces a white-box backdoor attack on convolutional neural networks used in facial recognition systems. The lack of security measures in these systems makes them vulnerable to exploitation, highlighting the need for thorough security assessments. Targeted weight perturbations can effectively compromise CNNs.",Backdooring Convolutional Neural Networks via Targeted Weight PerturbationsWe present a new white-box backdoor attack that exploits a vulnerability of convolutional neural networks (CNN
1,"a backdoored neural network, or BadNet, can be trained to behave badly on attacker-chosen inputs . the network can persist even if the network is","Deep neural networks, often trained via outsourcing, are vulnerable to backdoor attacks (BadNets).  Adversaries can manipulate training to create high-performing models that misclassify specific attacker-chosen inputs, even after retraining. This necessitates further research into neural network verification and inspection.
","This paper reveals security risks in outsourced deep neural network training, demonstrating that adversaries can implant backdoors (BadNets) which perform well on standard inputs but maliciously on specific triggers, urging further research into neural network verification methods.","Deep learning networks, while powerful, are vulnerable to backdooring attacks that can manipulate their behavior without detection. Outsourcing training to the cloud introduces security risks, allowing adversaries to create malicious networks that perform well but behave maliciously on specific inputs, highlighting the need for enhanced verification techniques.",BadNets: Evaluating Backdooring Attacks on Deep Neural NetworksABSTRACT: Deep learning-based techniques have achieved state-of-the-art performance on a wide variety
2,"a backdoor attack installs a backdoor pattern into a small proportion of training data . existing backdoor attacks are effective, but they are not stealthy .","Refool, a novel backdoor attack, uses reflections as triggers.  Stealthily injected during training, these reflections cause misclassification at test time while evading current defenses, effectively compromising DNNs.
","This paper introduces ""Reflection Backdoor"" (Refool), a stealthy backdoor attack on Deep Neural Networks (DNNs) using natural reflections, demonstrating high success across multiple datasets and resistance to advanced backdoor defenses.","This study introduces a novel backdoor attack called Reflection Backdoor (Refool) inspired by natural reflection phenomena. Refool plants reflections as backdoors into victim models, effectively attacking DNNs with high success rates across various tasks and datasets, while remaining undetectable by current defenses.",Reflection Backdoor: A Natural Backdoor Attack on Deep Neural NetworksRecent studies have shown that DNNs can be compromised by backdoor attacks crafted at training time. A backdoor attack installs
3,backdoor attacks are targeted at creating a backdoor into a learning-based authentication system . the adversary can inject only around 50 poisoning samples into the training set to achieve his,"This research explores backdoor attacks on deep learning systems, where attackers inject poisoned data into the training set.  These attacks are effective even with limited knowledge and minimal poisoning, achieving high success rates with subtle, hard-to-detect backdoors.  The findings highlight the vulnerability of deep learning systems and the need for better defenses.
","This research explores backdoor attacks on deep learning systems through data poisoning, where attackers inject minimal, stealthy poisoned samples into training sets, achieving over 90% success without prior model knowledge, demonstrating significant security threats and the need for robust defenses.","Deep learning systems, like face recognition, are vulnerable to backdoor attacks where adversaries create misleading instances. This study introduces backdoor poisoning attacks, injecting minimal poisoning samples to deceive systems without prior knowledge, emphasizing the urgent need for defense strategies.","Targeted Backdoor Attacks on Deep Learning Systems Using Data PoisoningDeep learning models have achieved high performance on many tasks, and thus have been applied to many security-critical scenarios. For"
4,"this study compares perceived and documented disruptions in public transportation . the impact of a massive snowstorm in November, 2018 was used as a case study .",,"This study compares official and passenger-reported data on public transportation disruptions, using Natural Language Processing and visual analytics to assess train delays and resilience, focusing on a 2018 snowstorm's impact on New York's Metro North Railroad.","This study compares perceived and documented disruptions in public transportation using Natural Language Processing and visual analytics. It examines the impact of a snowstorm on New York's Metro North Railroad system, questioning the accuracy of official versus passenger-reported information in influencing commuting decisions.","Listen to the People! Comparing Perceived and Documented Disruptions in Public Transportation, through Quantitative Quality of Experience, the Case Study of NYCPublic transportation systems are core"
5,a simple and effective textual backdoor defense is proposed . ONION is based on outlier word detection and can handle all the textual backdoor attacks .,"ONION, a novel defense against textual backdoor attacks in deep neural networks, detects outlier words to neutralize attacks.  Effective against various attacks on models like BiLSTM and BERT, ONION is demonstrably successful and readily available online.
","The paper introduces ONION, a novel defense against textual backdoor attacks in deep neural networks, utilizing outlier word detection to effectively safeguard models like BiLSTM and BERT across various attack scenarios, with resources available on GitHub.","ONION is a novel defense mechanism against textual backdoor attacks on deep neural networks, utilizing outlier word detection. It is the first method capable of addressing all textual backdoor attack scenarios, proving effective in safeguarding BiLSTM and BERT models against various attacks. Access code and data at the provided link.",ONION: A Simple and Effective Defense Against Textual Backdoor AttacksBackdoor attacks are a kind of emergent training-time threat to deep neural networks (DNNs). They
6,natural language processing (NLP) systems are vulnerable to backdoor attacks . hidden features (backdoors) are trained into a language model and may only be activated by specific input,,"The research paper ""Hidden Backdoors in Human-Centric Language Models"" explores how NLP systems can be compromised by backdoor attacks using covert triggers. These triggers, embedded through homograph replacement or subtle textual differences, effectively manipulate language models in security-critical tasks like toxic comment detection, neural machine translation, and question answering, achieving high attack success rates while remaining undetectable to human inspectors.","This research paper uncovers hidden backdoors in language models, demonstrating how covert triggers can manipulate modern NLP systems. By embedding triggers through homograph replacement and text differences, the attacks achieve high success rates in toxic comment detection, NMT, and QA tasks while remaining inconspicuous to human administrators.","The title of the research paper is: ""Hidden Backdoors in Human-Centric Language Models""Natural language processing (NLP) systems have been proven to be vulnerable to backdoor attacks"
7,a small number of maliciously constructed inputs are injected into the training set . an adversary is able to plant a backdoor into the trained model . this back,"Backdoor attacks inject malicious inputs into training data, allowing attackers to control model behavior via a trigger.  This work presents a method using adversarial perturbations and generative models to create label-consistent backdoor attacks, making injected inputs appear plausible and harder to detect.
","Deep neural networks are susceptible to label-consistent backdoor attacks, where adversaries inject plausible yet misclassified inputs into the training set, enabling control over the model's behavior during inference through a backdoor trigger. This method uses adversarial perturbations and generative models for stealth.","Backdoor attacks exploit neural networks by injecting malicious inputs during training to control model behavior. Maintaining label-consistency is crucial for avoiding detection. A novel approach using adversarial perturbations and generative models enables efficient, label-consistent backdoor attacks, fooling models into relying on backdoor triggers.","Label-Consistent Backdoor AttacksDeep neural networks have been demonstrated to be vulnerable to backdoor attacks. Specifically, by injecting a small number of maliciously constructed inputs into the training set,"
8,"mobile, spatial, and passive sensing crowdsourcing techniques can be leveraged . smart vehicles containing many embedded systems and sensors can be leveraged .",,"This paper explores how crowdsourcing in Intelligent Transportation Systems (ITS) and Vehicular Social Networks (VSN) utilizes mobile and embedded technologies to enhance data collection, thereby improving infrastructure monitoring, navigation, and congestion management through innovative processing techniques.","Mobile and embedded technology advancements enable crowdsourcing platforms to enhance Intelligent Transportation Systems and Vehicular Social Networks. Leveraging spatial and passive sensing techniques, smart vehicles can gather data for improved infrastructure health, navigation, and congestion management, transforming transportation systems with novel processing methods and simulation results.",Leveraging Intelligent Transportation Systems and Smart Vehicles Using Crowdsourcing: An OverviewAbstract: The current and expected future proliferation of mobile and embedded technology provides unique opportunities for crowdsourcing platforms to
9,backdoor attacks against deep neural networks reported to be new type of threat . adversary will inject backdoors into the model and cause the misbehavior of the model .,,"This paper explores a backdoor attack on LSTM-based text classification systems, where adversaries inject backdoors via data poisoning, causing misclassification when specific triggers are present, achieving a 96% success rate with minimal impact on overall performance.","Adversaries exploit deep neural network vulnerabilities through backdoor attacks, injecting triggers to misclassify text in LSTM-based systems. This stealthy attack achieves a 96% success rate with minimal impact on model performance, highlighting the need for defense strategies in RNN-based text classification.","A Backdoor Attack Against LSTM-Based Text Classification SystemsABSTRACT: With the widespread use of deep learning system in many applications, the adversary has strong incentive to explore vulnerabilities"
