PDF File Name,Merged Summary
0,"Ying et al. developed PinSage, a scalable Graph Convolutional Network algorithm at Pinterest, integrating efficient random walks with graph convolutions to generate item embeddings. Trained on a massive dataset of 7.5 billion examples, PinSage outperforms existing deep learning and graph-based methods, delivering higher-quality recommendations and advancing scalable web-scale recommender systems. This represents a significant application of deep graph embeddings in handling billions of items and users [1]."
1,"Meir et al. propose a market-inspired bidding scheme for assigning paper reviews at academic conferences, where reviewers are given budgets and papers are priced based on demand. This system incentivizes reviewers to bid sincerely, aiming to secure their preferred papers. Simulations using real conference data indicate that this approach leads to better bid distribution and more effective paper assignments compared to traditional methods [2]."
2,"Zhang et al. developed ApeGNN, a graph neural network that introduces node-wise adaptive aggregation for recommendation systems. This method allows each node to adjust its diffusion weights based on local structures, significantly enhancing recommendation accuracy. ApeGNN outperforms existing GNN-based methods by up to 48.94% across various datasets, demonstrating the effectiveness of adaptive aggregation in improving recommendation performance [3]."
3,"Yi et al. introduced FourierGNN, a novel graph neural network that redefines multivariate time series forecasting by integrating spatial and temporal dynamics into a unified model called the hypervariate graph. This approach utilizes the Fourier Graph Operator for efficient matrix multiplications in Fourier space, enhancing expressiveness and reducing complexity. FourierGNN not only simplifies computations but also significantly improves forecasting accuracy, outperforming existing methods in empirical evaluations across seven datasets. Its effectiveness is further supported by its theoretical equivalence to graph convolutions [4]."
4,"Kobren et al. propose a novel local fairness formulation to address critical issues in paper matching during peer reviews, focusing on reviewer expertise and workload balance. They introduce two algorithms, FairIr and FairFlow; FairIr ensures maximal objective achievement with minimal fairness compromise, while FairFlow prioritizes efficiency and achieves a balance between fairness and efficiency. Both algorithms demonstrate improved fairness over traditional methods, as evidenced by empirical evaluations on real conference data [5]."
5,"Shah et al. discuss systemic challenges in peer review at WSDM 2021, focusing on bias, subjectivity, and dishonesty exacerbated by increasing submissions. The tutorial presents computational solutions and experiments, aiming to enhance fairness and credibility in peer review and ensure equitable opportunities, particularly for young researchers. It identifies open problems with potential significant impacts on the academic community [6]."
6,"Wang et al. survey automatic approaches to the Reviewer Assignment Problem (RAP) in academic peer-review, crucial for maintaining publication quality. They divide RAP into three interconnected phases: reviewer search, matching computation, and assignment optimization. The survey highlights that current research often focuses on individual phases and identifies gaps between existing methods and practical needs, suggesting future research opportunities in integrated and online optimization [7]."
7,"Zhao & Zhang provide a comprehensive review of reviewer assignment algorithms from 1992 to 2022, discussing the development and optimization of these algorithms for peer review automation. They cover the construction of candidate reviewer databases, computation of matching degrees, and evaluation of algorithm effectiveness. The survey highlights the significance of matching papers to suitable reviewers to ensure fair and accurate peer review, offering insights into future research directions and serving as a reference for researchers and organizers [8]."
8,"Balog et al. discuss two generative probabilistic models for expert finding within enterprise document repositories. The first model connects experts directly to documents, while the second locates topical documents before identifying relevant experts. Evaluations on the TREC Enterprise corpus reveal that the second model outperforms the first and demonstrates strong performance against other unsupervised methods [9]."
9,"Jecmen et al. developed a randomized algorithm to address manipulation in peer review by optimally assigning reviewers and limiting malicious assignments. The algorithm reduces the probability of biased reviewers being assigned to specific papers to 50%, tackling issues like torpedo reviewing and reviewer de-anonymization. Experimental evaluations confirm the algorithm's effectiveness in maintaining high assignment quality while mitigating reviewer bias, with over 90% optimal similarity achieved in tests. [10]"
10,"Mu et al. proposed a novel approach, Knowledge-Guided Disentangled Representation Learning (KDR), which utilizes knowledge graphs to enhance interpretability and address data sparsity in recommender systems. KDR aligns implicit disentangled representations from user-item interactions with explicit representations from knowledge graphs, improving recommendation performance and understanding of user preferences. The effectiveness of KDR is validated through experiments on real-world datasets [11]."
11,"Protasiewicz et al. discussed a recommender system for reviewers and experts in reviewing problems. The text primarily contains bibliographic information and publication details, lacking the abstract or substantive content from the research paper. Additional sections like the abstract are necessary for a detailed summary of the key findings and contributions [12]."
12,"Shah et al. proposed a rule-based approach, SAFE, for extracting app features from user reviews. An external replication study revealed that SAFE had lower precision and recall than initially reported, with performance influenced by the feature density in review datasets. The study used multiple datasets and an accurate implementation of SAFE, emphasizing the need for objective and repeatable evaluations in research. This replication highlights the variability in SAFE's effectiveness and underscores the importance of reproducible methods in app feature extraction studies [13]."
13,"Yu et al. propose a socially-aware self-supervised learning framework that enhances recommender systems by integrating user social information and utilizing tri-training. This method employs three graph encoders to capture self-supervision signals from multiple views, iteratively refining user representations. Extensive real-world experiments validate the effectiveness of this approach in improving recommendation accuracy [14]."
14,"MA et al. developed KR-GCN, a novel knowledge-aware recommendation method that integrates knowledge graphs with graph convolution networks to tackle error propagation and weak explainability in recommender systems. It employs transition scores, nucleus sampling for selecting relevant triples, and a path-level self-attention mechanism to enhance explainability. Experiments demonstrate KR-GCN's superior performance in recommendation accuracy and explanation quality, outperforming existing models [15]."
15,"Fang et al. proposed a relevance-based discriminative learning framework for expert search, integrating document evidence and document-candidate associations, and outperforming generative models. This framework eliminates the need for additional modeling assumptions, demonstrating effectiveness and robustness through extensive testing on TREC Enterprise track corpora. [16]"
16,"Jin et al. proposed NIRec, an efficient neighborhood-based interaction model for recommendation on heterogeneous graphs, utilizing a convolutional approach and fast Fourier transform. NIRec captures interactive patterns through metapath-guided neighborhoods, addressing limitations of existing methods and outperforming state-of-the-art approaches in experiments across various graph types. This model significantly enhances HIN-based recommender systems by efficiently learning complex interactions, demonstrating its effectiveness in leveraging node interactions for improved recommendations [17]."
17,"Tan et al. propose a Word and Semantic-based Iterative Model (WSIM) to improve reviewer assignment in academic publishing by addressing incomplete reviewer data and interference from non-manuscript-related papers. WSIM utilizes word and semantic features, employing an improved similarity metric and iterative filtering to enhance matching accuracy. Evaluations show that WSIM achieves at least a 2.5% increase in recommendation accuracy over existing methods [18]."
18,"Liao et al. introduced RevGNN, an unsupervised graph contrastive learning model that effectively addresses the ""false negative"" issue in academic reviewer recommendation. Utilizing a two-stage encoder with Pseudo Neg-Label to handle the ambiguity of unobserved interactions, RevGNN significantly outperforms existing baselines across three real-world datasets, proving its effectiveness in improving recommendation accuracy. [19]"
